,city_name,latitude,longitude,max temp,humidity,cloudiness,wind speed,country,date
295,Waingapu,-9.6567,120.2641,82.15,82.0,100.0,13.76,ID,1617073627.0
296,Skjervøy,70.0311,20.9714,34.63,69.0,77.0,6.91,NO,1617073688.0
297,Touros,-5.1989,-35.4608,77.0,94.0,40.0,8.01,BR,1617073688.0
298,Marechal Deodoro,-9.7103,-35.895,77.0,94.0,40.0,2.3,BR,1617073688.0
299,La Ronge,55.1001,-105.2842,15.8,79.0,100.0,13.8,CA,1617073689.0
300,Vostok,46.4856,135.8833,32.79,99.0,100.0,3.38,RU,1617073689.0
301,Jiexiu,37.0244,111.9125,61.09,49.0,1.0,1.5,CN,1617073558.0
302,Vodnyy,63.5046,53.4095,32.34,93.0,100.0,8.23,RU,1617073690.0
303,Kiunga,-6.1219,141.2906,85.53,73.0,82.0,3.0,PG,1617073690.0
304,Harvard,42.4222,-88.6137,53.01,59.0,5.0,24.99,US,1617073690.0
306,Bayir,37.2687,28.2167,46.4,66.0,0.0,5.75,TR,1617073691.0
307,Soyo,-6.1349,12.3689,79.59,80.0,100.0,7.83,AO,1617073455.0
309,Saldanha,-33.0117,17.9442,62.6,88.0,7.0,1.14,ZA,1617073691.0
311,Cherskiy,68.75,161.3,7.0,85.0,100.0,8.21,RU,1617073426.0
312,Virginia Beach,36.8529,-75.978,50.0,62.0,1.0,4.61,US,1617073088.0
313,Sainte-Rose,16.3324,-61.6979,75.2,88.0,75.0,3.44,GP,1617073692.0
314,Pisco,-13.7,-76.2167,69.8,73.0,0.0,5.75,PE,1617073627.0
315,Mabaruma,8.2,-59.7833,72.73,97.0,91.0,4.45,GY,1617073693.0
316,Dingle,10.9995,122.6711,87.98,57.0,96.0,11.23,PH,1617073693.0
317,Bertoua,4.5833,13.6833,67.42,76.0,57.0,3.02,CM,1617073693.0
319,Grand Gaube,-20.0064,57.6608,80.01,79.0,14.0,5.01,MU,1617073694.0
320,Montluçon,46.3333,2.6,48.63,68.0,3.0,4.27,FR,1617073694.0
323,Cabo San Lucas,22.8909,-109.9124,75.2,29.0,40.0,6.91,MX,1617073695.0
324,Sevierville,35.8681,-83.5618,48.99,70.0,1.0,3.27,US,1617073562.0
325,Baykit,61.67,96.37,20.48,87.0,100.0,4.25,RU,1617073695.0
326,Marang,5.2056,103.2059,84.2,79.0,40.0,3.44,MY,1617073696.0
327,Gushikawa,26.3544,127.8686,78.8,89.0,90.0,13.8,JP,1617073696.0
328,Nioro,13.35,-15.75,72.93,44.0,2.0,3.27,GM,1617073697.0
329,Changji,44.0167,87.3167,33.8,100.0,90.0,2.24,CN,1617073636.0
331,Vila Velha,-20.3297,-40.2925,78.8,78.0,0.0,10.36,BR,1617073697.0
332,Lavrentiya,65.5833,-171.0,13.12,86.0,100.0,10.74,RU,1617073698.0
333,College,64.8569,-147.8028,34.0,69.0,90.0,3.44,US,1617073698.0
334,Sturgis,41.7992,-85.4192,48.2,46.0,1.0,14.97,US,1617073698.0
335,Beisfjord,68.3751,17.5988,33.8,100.0,90.0,8.05,NO,1617073699.0
336,Cocal,-28.6167,-49.35,64.58,97.0,72.0,4.14,BR,1617073699.0
337,Mount Isa,-20.7333,139.5,91.4,31.0,40.0,13.8,AU,1617073699.0
338,Kawalu,-7.3817,108.2082,81.93,76.0,100.0,2.91,ID,1617073700.0
339,Ossora,59.2353,163.0719,22.93,75.0,100.0,4.29,RU,1617073700.0
340,Ulsteinvik,62.3432,5.8487,42.8,70.0,90.0,23.02,NO,1617073701.0
341,Gelibolu,40.4103,26.6708,35.6,87.0,0.0,6.91,TR,1617073701.0
342,Pasni,25.2631,63.471,79.3,32.0,5.0,22.59,PK,1617073701.0
343,Bathsheba,13.2167,-59.5167,77.0,73.0,75.0,19.57,BB,1617073702.0
